Day,Qty Sold,Sales Revenue,Gross Profit
2024-02-01,1012.0,8020099.9,4245028.280893675
2024-02-02,1132.0,9036250.1,4613156.896819831
2024-02-03,845.0,6719317.1,3579261.7264811425
2024-02-04,543.0,4437400.1,2379934.658500308
2024-02-05,897.0,7559190.2,4061006.330282138
2024-02-06,1013.0,8428850.1,4488235.745996533
2024-02-07,1091.0,9308900.0,5113077.217764398
2024-02-08,567.0,4790850.4,2739475.212363448
2024-02-09,590.0,4975400.0,2866771.418341706
2024-02-10,456.0,3975100.0,2334945.0813773484
2024-02-11,495.0,4315700.0,2526162.3289224776
2024-02-12,783.0,6864700.0,3909036.2965293373
2024-02-13,920.0,8256260.0,4738683.900558475
2024-02-14,496.0,4319000.0,2660034.791575379
2024-02-15,751.0,6686900.0,3841003.9114271095
2024-02-16,778.0,6937300.0,4016471.8662569206
2024-02-17,686.0,6160500.0,3574723.680138099
2024-02-18,512.0,4537900.0,2739363.0507289954
2024-02-19,833.0,7546500.0,4423863.309061472
2024-02-20,935.0,8489780.0,4904325.501198765
2024-02-21,963.0,8670200.0,5093618.608993805
2024-02-22,956.0,8342200.0,4913991.305163961
2024-02-23,1079.0,9855500.0,5882300.243382585
2024-02-24,909.0,8510900.0,5080219.280744136
2024-02-25,564.0,5369000.0,3260147.9742623866
2024-02-26,872.0,8084500.0,4828088.168268836
2024-02-27,974.0,9199800.0,5546599.723113007
2024-02-28,1047.0,9712500.0,5922679.008812276
2024-02-29,985.0,9244200.0,5673066.219898705
